the,τħé,1
of,of!uv,2
and,and,3
to,tó!tö,4
a,a,5
in,in,6
that,τħat,7
it,it,8
is,iś,9
was,wáś!woś,10
i,î,11
for,før#,12
on,on,13
you,yöù,14
he,hê,15
be,bê,16
with,wiτħ,17
as,aś,18
by,bŷ,19
at,at,20
have,havè,21
are,ār#è,22
this,τħis,23
not,not,24
t,t,24
but,but,25
d,d,26
had,had,26
his,hiś,27
they,τħey,28
from,fróm,29
she,ŝħê,30
which,wħiĉħ,31
or,ør#,32
we,wê,33
an,an,34
there,τħeŕè,35
her,hèŕ,36
were,wèŕè,37
do,dö,38
been,bėèn!bêèn,39
all,ål0l,40
their,τħeìŕ,41
has,haś,42
would,wōùl0d,43
ll,ll,44
will,will,44
what,wħåt!wot,45
if,if,46
can,can,47
when,wħen,48
so,sô,49
no,nô,50
said,sãìd,51
who,w0hö,52
more,mør#è,53
about,ábõùt,54
up,up,55
them,τħem,56
some,sőmè,57
could,cōùl0d,58
him,him,59
into,intö,60
its,its,61
then,τħen,62
out,õùt,63
time,tîmè,64
like,lîkè,65
only,ônlý,66
my,mŷ,67
did,did,68
didn,didn,68
other,őτħèŕ,69
me,mê,70
your,yøùr0,71
now,nõw0,72
over,ôvèŕ,73
just,just,74
may,mãý,75
these,τħêśè,76
new,nëw0,77
also,ålsô,78
people,pêòplè,79
any,ãný,80
know,k0nôw0,81
very,verý,82
see,sêè,83
seeland,sêèland,83
first,fìŕst,84
well,well,85
after,aftèŕ,86
should,ŝħōùl0d,87
than,τħan,88
where,wħeŕè,89
back,back0,90
isn,iśn,90
how,hõw0,91
get,get,92
most,môst,93
way,wãý,94
down,dõw0n,95
our,õυŕ,96
made,mâdè,97
got,got,98
much,muĉħ,99
think,πħiñk,100
wasn,wáśn!wośn,100
work,wòŕk,101
between,bėtwêèn,102
go,gô,103
years,yėàŕś,104
er,èŕ,105
many,mãný,106
ve,vè,107
being,bêiñg0,108
those,τħôśè,109
before,bėfør#è,110
right,rîg0ħt,111
because,bėcåùśè,112
re,rê,113
re,ŕè,113
re,ŕè,113
through,πħröùg0ħ,114
yeah,yeàħ,115
good,gōòd,116
make,mâkè,117
such,suĉħ,118
still,still,119
stillest,stillést,119
year,yėàŕ,120
must,must,121
even,êvén,123
take,tâkè,124
own,ôw0n,125
too,töò,126
off,o#ff,127
here,hėŕè,128
come,cőmè,129
both,bôπħ,130
does,dőèś,131
say,sãý,132
oh,ôħ,133
used,ûśèd,134
going,gôiñg0,135
use,ûsè,136
use,ûśè,136
use,ûśè,136
uses,ûsėś,136
uses,ûśėś,136
uses,ûśėś,136
us,us,137
government,gővèŕnmént,138
day,dãý,139
man,man,140
might,mîg0ħt,141
same,sâmè,142
under,undèŕ,143
yes,yes,144
however,hõw0evèŕ,145
put,pūt,146
world,wòŕld,147
another,ánőτħèŕ,148
want,want!wont,149
wanting,wantiñg0!wontiñg0,149
thought,πħøùg0ħt,150
while,wħîlè,151
life,lîfè,152
again,ágãìn,153
against,ágãìnst,154
never,nevèŕ,155
need,nêèd,156
old,ôld,157
look,lōòk,158
home,hômè,159
something,sőmèπħiñg0,160
long,loñg0,161
house,hõùsè,162
house,hõùsè,162
house,hõùśè,162
why,wħŷ,163
whys,wħŷś,163
each,êàĉħ,164
part,pār#t,165
since,sinçè,166
end,end,167
number,numbèŕ,168
found,fõùnd,169
place,plâçè,170
different,diffèrént0,171
went,went,172
little,littlè,173
really,rêallý,174
came,câmè,175
left,left,176
children,ĉħildrén,177
local,lôcál,178
within,wiτħin,179
always,ålwãýś,180
without,wiτħõùt,181
one,one!wőnè,182
around,árõùnd,183
great,grèât,184
give,givè,185
set,set,186
system,sẏstém,187
small,smål0l,188
mean,mêàn,189
although,ålτħôùg0ħ,191
case,câsè,192
next,next,193
things,πħiñg0ś,194
find,fînd,195
social,sôćiál,196
given,givén,197
group,gröùp,198
second,secónd,199
quite,qυîtè,200
until,until,201
party,pār#tý,202
point,pσìnt,203
every,evèrý,204
company,cőmpáný,205
women,women!wimėn,207
says,sãy0ś,208
later,lâtèŕ,209
havn,havn,210
important,impør#tánt,210
took,tōòk,211
state,stâtè,212
high,hîg0ħ,213
men,men,214
away,áwãý,215
information,infòŕmâţìòn,216
public,public,217
help,help,218
head,heàd,219
national,naţìònál,220
often,o#ftén,221
seen,sêèn,222
school,scħöòl,223
money,mőnêy0,224
told,tôld,225
fact,fact,226
night,nîg0ħt,227
further,fùŕτħèŕ,228
better,bettèŕ,229
british,britiŝħ,230
business,buśìnėss!biśnėss,231
less,less,232
taken,tâkén,233
done,dőnè,234
hand,hand,235
having,haviñg0,236
thing,πħiñg0,237
looked,lōòkèð,238
london,lóndón,239
area,ãrêá,240
water,wåtèŕ,241
perhaps,pèŕhaps,242
face,fâçè,243
best,best,244
form,før#m,245
family,famílý,246
general,ĝenérál,247
though,τħôùg0ħ,248
already,ålreàdý,249
possible,possíblè,250
nothing,nőπħiñg0,251
early,èàŕlý,252
large,lār#ĝè,253
yet,yet,254
young,yòuñg0,255
side,sîdè,256
asked,askèð,257
whether,wħeτħèŕ,258
days,dãýś,259
called,cål0lèd,260
hadn,hadn,260
john,joħn,261
enough,enough!ėnòuf,262
development,dėvelópmént,263
week,wêèk,264
round,rõùnd,265
power,põwèŕ,266
change,ĉħânĝè,267
country,còuntrý,268
almost,ålmôst,269
council,cõùnçíl,270
himself,himself,271
room,röòm,272
tell,tell,273
service,sèŕviçè,274
political,pólitícál,275
far,fār#,276
able,âblè,277
become,bėcőmè,278
open,ôpén,279
market,mār#kėt,280
times,tîmèś,281
whole,w0hôlè,282
support,suppør#t,283
half,hāl0f,284
eyes,èŷèś,285
members,membèŕś,286
working,wòŕkiñg0,287
control,cóntrôl,288
major,mâjòŕ,289
problem,problém,290
doing,döiñg0,291
court,cøùr0t,292
towards,tówår0dś,293
mind,mînd,294
anything,ãnýπħiñg0,295
others,őτħèŕś,296
felt,felt,297
war,wår0,298
car,cār#,299
police,pólïçè,300
two,tw0ö,300
keep,kêèp,301
full,fūll,302
making,mâkiñg0,303
either,êìτħèŕ,304
held,held,305
report,rėpør#t,306
interest,intèrést,307
once,őnçè!wőnçè,308
problems,problémś,309
act,act,310
road,rôàd,311
probably,probáblý,312
available,ávâìláblè,313
labour,lâbòùŕ,314
law,låw0,315
research,rėsèàŕĉħ,316
following,follôwiñg0,317
level,levél,318
show,ŝħôw0,319
saw,såw0,320
looking,lōòkiñg0,321
feel,fêèl,322
today,tódãý,323
name,nâmè,324
mother,mőτħèŕ,325
past,past,326
question,qυesţìòn,327
let,let,328
knew,k0nëw0,329
education,edûcâţìòn,330
actually,actûállý,331
policy,políçý,332
am,am,333
m,m,333
ever,evèŕ,334
known,k0nôw0n,335
above,ábővè,336
office,o#ffíçè,337
big,big,338
clear,clėàŕ,339
body,bodý,340
door,døòr0,341
voice,vσìçè,342
across,ácro#ss,343
britain,britáìn,344
person,pèŕsón,345
together,tógeτħèŕ,346
main,mâìn,347
services,sèŕviçėś,348
care,cãŕè,349
black,black0,350
book,bōòk,351
months,mőnπħs,352
turned,tùŕnèd,353
using,ûśiñg0,354
health,heàlπħ,355
sure,ŝūrè,356
white,wħîtè,357
words,wòŕdś,358
child,ĉħîld,359
period,pėrïód,360
minister,ministèŕ,361
including,inclüdiñg0,362
several,sevèrál,363
father,fāτħèŕ,364
society,sóçîétý,365
seemed,sêèmèd,366
kind,kînd,367
began,bėgan,368
god,god,369
top,top,370
weren,wèŕèn,370
start,stār#t,371
itself,itself,372
behind,bėhînd,373
themselves,τħemselvèś,374
wanted,wanted!wontéd,375
economic,ecónomic,376
love,lővè,377
means,mêànś,378
upon,upon,379
areas,ãrêáś,380
effect,ėffect,381
likely,lîkèlý,382
english,ėñgliŝħ,383
city,çitý,384
therefore,τħeŕèfør#è,385
woman,wōmán,386
position,póśiţìòn,387
real,rêàl,388
centre,çentŕè,389
south,sõùπħ,390
england,ėñglánd,391
community,cómmûnítý,392
view,vĩëw0,393
viewless,vĩëw0léss,393
gave,gâvè,394
hard,hār#d,395
job,job,396
among,ámőñg0,397
staff,staff,398
line,lînè,400
process,proçess,401
future,fûťùŕè,402
particular,pàŕticûlàŕ,403
provide,próvîdè,404
became,bėcâmè,406
taking,tâkiñg0,407
international,intèŕnaţìònál,408
study,studý,409
moment,mômént,410
run,run,411
special,spećiál,412
result,rėśult,413
action,acţìòn,414
difficult,diffícult,415
pay,pãý,416
particularly,pār#ticûlàŕlý,417
sense,sensè,418
age,âĝè,419
hasn,haśn,420
